game_id,title,released,price,overall,positive%,reviews,tags
1623730,Palworld,"18 Jan, 2024","385.000,00₫",Very Positive,0.94,244291,"Multiplayer, Open World, Survival, Creature Collector, Open World Survival Craft, Crafting, Co-op, Adventure, Sandbox, Third-Person Shooter, Automation, Action, Early Access, RPG, Anime, PvE, 3D, Indie, Looter Shooter, Hack and Slash"
1203620,Enshrouded,"24 Jan, 2024","385.000,00₫",Very Positive,0.86,38534,"Open World, Survival, Base Building, Multiplayer, Online Co-Op, Crafting, Action RPG, RPG, Adventure, Building, Singleplayer, Exploration, Early Access, Fantasy, Character Customization, Sandbox, Action, PvE, 3D, Indie"
2670630,Supermarket Simulator,"20 Feb, 2024","180.000,00₫",Very Positive,0.94,12557,"Simulation, Economy, Management, Immersive Sim, Trading, Capitalism, Building, Singleplayer, First-Person, Life Sim, Sandbox, 3D, Casual, Resource Management, Driving, Realistic, Indie, Multiplayer, Inventory Management, Early Access"
899770,Last Epoch,"21 Feb, 2024","445.000,00₫",Mostly Positive,0.77,78041,"Action RPG, Loot, Hack and Slash, RPG, Isometric, Multiplayer, Action, Adventure, Co-op, Indie, Dungeon Crawler, Singleplayer, Top-Down, Early Access, Gore, Violent, Fantasy, Character Customization, Magic, Time Travel"
252490,Rust,"8 Feb, 2018","510.000,00₫",Very Positive,0.87,853593,"Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, PvP, Sandbox, Adventure, First-Person, Action, Nudity, FPS, Shooter, Co-op, Online Co-Op, Indie, Early Access, Post-apocalyptic, Simulation"
108600,Project Zomboid,"8 Nov, 2013","260.000,00₫",Very Positive,0.94,214371,"Survival, Zombies, Open World, Open World Survival Craft, Multiplayer, Sandbox, Post-apocalyptic, Co-op, Crafting, Indie, Building, Simulation, RPG, Survival Horror, Realistic, Isometric, Singleplayer, 2D, Adventure, Early Access"
413150,Stardew Valley,"26 Feb, 2016","165.000,00₫",Overwhelmingly Positive,0.98,558601,"Farming Sim, Life Sim, Pixel Graphics, Multiplayer, RPG, Relaxing, Agriculture, Simulation, Crafting, Sandbox, Indie, Building, Singleplayer, Casual, Open World, 2D, Cute, Dating Sim, Great Soundtrack, Fishing"
2427700,Backpack Battles,"8 Mar, 2024","180.000,00₫",Overwhelmingly Positive,0.95,4001,"Early Access, Auto Battler, Strategy, Inventory Management, PvP, Multiplayer, Roguelike Deckbuilder, Asynchronous Multiplayer, Indie, Tactical, Card Battler, Combat, Loot, Turn-Based, Roguelike, Replay Value, 2D, Hand-drawn, Cute, Cozy"
227300,Euro Truck Simulator 2,"12 Oct, 2012","280.000,00₫",Overwhelmingly Positive,0.97,550725,"Driving, Transportation, Simulation, Open World, Automobile Sim, Realistic, Moddable, Relaxing, Immersive Sim, Exploration, Economy, Management, Atmospheric, Multiplayer, Controller, Family Friendly, Third Person, Adventure, Casual, Indie"
294100,RimWorld,"17 Oct, 2018","350.000,00₫",Overwhelmingly Positive,0.98,151940,"Colony Sim, Base Building, Survival, Strategy, Sandbox, Management, Building, Simulation, Singleplayer, City Builder, Moddable, Open World, Procedural Generation, 2D, Sci-fi, Indie, Space, Tactical RPG, Western, Cartoony"
1868140,DAVE THE DIVER,"28 Jun, 2023","260.000,00₫",Overwhelmingly Positive,0.97,86971,"Pixel Graphics, Casual, Adventure, Management, RPG, Relaxing, Fishing, Simulation, Exploration, Underwater, Singleplayer, Farming Sim, Crafting, 2D, Roguelite, Story Rich, Funny, Agriculture, Indie, Action"
105600,Terraria,"16 May, 2011","142.000,00₫",Overwhelmingly Positive,0.97,1005611,"Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Pixel Graphics, Crafting, Building, Exploration, Co-op, Open World, Online Co-Op, Indie, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric"
648800,Raft,"20 Jun, 2022","188.000,00₫",Very Positive,0.93,258264,"Survival, Multiplayer, Open World Survival Craft, Co-op, Crafting, Open World, Building, Base Building, Online Co-Op, Adventure, Sandbox, First-Person, Singleplayer, Early Access, Underwater, Simulation, Action, Indie, Strategy, Massively Multiplayer"
1260320,Party Animals,"20 Sep, 2023","310.000,00₫",Mostly Positive,0.76,32496,"Casual, Multiplayer, Funny, Cute, Party Game, Action, Fighting, PvP, Co-op, Party, Family Friendly, Online Co-Op, Physics, 3D Fighter, Local Multiplayer, 4 Player Local, Indie, Team-Based, Local Co-Op, Action-Adventure"
250900,The Binding of Isaac: Rebirth,"4 Nov, 2014","165.000,00₫",Overwhelmingly Positive,0.97,252453,"Action Roguelike, Roguelike, Indie, Replay Value, Difficult, Pixel Graphics, Dungeon Crawler, Great Soundtrack, Singleplayer, Dark, 2D, Remake, Local Co-Op, Gore, Procedural Generation, Roguelite, Atmospheric, Action, Co-op, Horror"
221100,DayZ,"13 Dec, 2018","1.000.000,00₫",Mostly Positive,0.76,317869,"Survival, Multiplayer, Zombies, Open World, Action, PvP, Shooter, Massively Multiplayer, Horror, Post-apocalyptic, Simulation, FPS, Early Access, First-Person, Survival Horror, Sandbox, Adventure, Co-op, Atmospheric, Indie"
431960,Wallpaper Engine,Nov 2018,"70.000,00₫",Overwhelmingly Positive,0.98,701671,"Mature, Utilities, Software, Anime, Design & Illustration, Animation & Modeling, NSFW, First-Person, Indie, Memes, Cute, Action, Singleplayer, Funny, Early Access, Photo Editing, Sandbox, Horror, Game Development, Gaming"
264710,Subnautica,"23 Jan, 2018","385.000,00₫",Overwhelmingly Positive,0.96,237380,"Open World Survival Craft, Survival, Horror, Open World, Exploration, Underwater, Crafting, Base Building, Singleplayer, Adventure, First-Person, Sci-fi, Sandbox, Atmospheric, Aliens, Survival Horror, Multiplayer, Action, Indie, Early Access"
242760,The Forest,"30 Apr, 2018","188.000,00₫",Overwhelmingly Positive,0.95,451286,"Open World Survival Craft, Survival, Open World, Horror, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Singleplayer, Atmospheric, Simulation, Gore, Realistic, Indie, Zombies, Early Access"
2273430,BlazBlue Entropy Effect,"14 Feb, 2024","260.000,00₫",Very Positive,0.92,13313,"Action Roguelike, Metroidvania, Action-Adventure, Platformer, 2D, Action, Pixel Graphics, Replay Value, Procedural Generation, Roguelite, Indie, Beat 'em up, Cyberpunk, Post-apocalyptic, Story Rich, Multiple Endings, Roguelike, 2D Fighter, Roguevania, Anime"
686810,Hell Let Loose,"27 Jul, 2021","900.000,00₫",Very Positive,0.84,76743,"Shooter, World War II, Realistic, FPS, Multiplayer, War, Action, Singleplayer, Military, Tactical, Simulation, First-Person, Massively Multiplayer, Gore, Strategy, Historical, PvP, Mature, Violent, Indie"
