id,title,released,overall,reviews,tags
1049590,Eternal Return,"19 Jul, 2023",Mostly Positive,55088,"Free to Play, Anime, MOBA, Multiplayer, Survival, PvP, Combat, Top-Down, Crafting, Action, 3D, Strategy, Tactical, Character Customization, Indie, Experimental, Point & Click, Early Access, Sexual Content, MMORPG"
960090,Bloons TD 6,"17 Dec, 2018",Overwhelmingly Positive,263317,"Tower Defense, Strategy, Multiplayer, Singleplayer, Online Co-Op, Co-op, Family Friendly, Casual, 3D, Cartoony, Sandbox, Great Soundtrack, Difficult, Funny, Cute, Survival, Action, Indie, 2D, Adventure"
2239150,Thronefall,"2 Aug, 2023",Overwhelmingly Positive,11827,"Tower Defense, Strategy, City Builder, Minimalist, Medieval, Action, Action RTS, 3D, Building, Colorful, Isometric, Stylized, Base Building, Fantasy, Combat, Singleplayer, Controller, Indie, Early Access, Hack and Slash"
508440,Totally Accurate Battle Simulator,"1 Apr, 2021",Overwhelmingly Positive,112669,"Sandbox, Simulation, Funny, Physics, War, Strategy, Singleplayer, Realistic, Adventure, Indie, Colorful, Fantasy, 3D, Comedy, Action, Historical, Family Friendly, Cute, Wargame, Memes"
1433140,The Texas Chain Saw Massacre,"18 Aug, 2023",Mostly Positive,14188,"Horror, Multiplayer, Gore, Survival Horror, Team-Based, PvP, Survival, Action, Third Person, Asynchronous Multiplayer, Stealth, Violent, Blood, Cinematic, 3D, Atmospheric, Indie, Nudity, Psychological Horror, Strategy"
1275890,Baldi's Basics Plus,"11 Jun, 2020",Overwhelmingly Positive,3302,"Roguelike, Stealth, Procedural Generation, Parody , Funny, Horror, Retro, Exploration, Perma Death, 3D, Indie, Early Access, Strategy, First-Person, Roguelite, Action, 1990's, Surreal, Singleplayer, Survival Horror"
1494420,Silica,"3 May, 2023",Mostly Positive,3272,"Strategy, RTS, Sci-fi, Multiplayer, Early Access, Singleplayer, Aliens, Shooter, PvP, FPS, Indie, Action, First-Person, Co-op, PvE, 3D, Futuristic, Online Co-Op, Top-Down, Arena Shooter"
537800,Bomber Crew,"19 Oct, 2017",Very Positive,8817,"World War II, Simulation, Strategy, Management, Flight, Singleplayer, Indie, War, Difficult, Survival, Action, Casual, Military, Roguelike, 3D, Cartoony, Perma Death, Roguelite, Cute, Atmospheric"
1216320,Shieldwall,"18 Apr, 2023",Very Positive,5401,"Action, Simulation, Sandbox, Medieval, Funny, War, Strategy, Rome, Colorful, Historical, Indie, Adventure, Third Person, Comedy, Casual, PvP, Singleplayer, Multiplayer, Physics, 3D"
2551020,One-armed robber,"15 Dec, 2023",Very Positive,13071,"Multiplayer, Free to Play, Action, Heist, Simulation, Strategy, FPS, Shooter, Co-op, First-Person, Stealth, 3D, Funny, Real Time Tactics, Physics, Tactical, Indie, Stylized, Singleplayer, VR"
